
2025/02/14 (19:15:38) | ===> btop++ v.1.4.0
2025/02/14 (19:15:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (19:27:30) | ===> btop++ v.1.4.0
2025/02/17 (19:27:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (19:55:16) | ===> btop++ v.1.4.0
2025/02/17 (19:55:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (19:55:41) | ===> btop++ v.1.4.0
2025/02/17 (19:55:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (19:25:15) | ===> btop++ v.1.4.0
2025/02/18 (19:25:15) | WARNING: Intel GPU: Failed to initialize PMU
